hotel_name,hotel_slug,check_in_date,check_out_date,nights,guests,rooms,day_offset,availability,total_price,original_price,price_per_night,has_discount,discount_percentage,rating_score,review_count,scrape_timestamp
Rhino’s Rest Private Luxury Villa,rhinos-rest-luxury-self-catering-home,2025-11-26,2025-11-28,2,2,1,28,sold_out,,,,False,,,,2025-10-29T16:08:35.437300
Rhino’s Rest Private Luxury Villa,rhinos-rest-luxury-self-catering-home,2025-11-28,2025-11-30,2,2,1,30,available,75136.0,93920.0,37568.0,True,20.0,,,2025-10-29T16:08:41.488309
Rhino’s Rest Private Luxury Villa,rhinos-rest-luxury-self-catering-home,2025-11-30,2025-12-02,2,2,1,32,available,75136.0,93920.0,37568.0,True,20.0,,,2025-10-29T16:08:47.763880
Rhino’s Rest Private Luxury Villa,rhinos-rest-luxury-self-catering-home,2025-12-02,2025-12-04,2,2,1,34,available,75136.0,93920.0,37568.0,True,20.0,,,2025-10-29T16:08:53.927830
Rhino’s Rest Private Luxury Villa,rhinos-rest-luxury-self-catering-home,2025-12-04,2025-12-06,2,2,1,36,sold_out,,,,False,,,,2025-10-29T16:08:59.802950
Rhino’s Rest Private Luxury Villa,rhinos-rest-luxury-self-catering-home,2025-12-06,2025-12-08,2,2,1,38,sold_out,,,,False,,,,2025-10-29T16:09:05.664292
Rhino’s Rest Private Luxury Villa,rhinos-rest-luxury-self-catering-home,2025-12-08,2025-12-10,2,2,1,40,sold_out,,,,False,,,,2025-10-29T16:09:11.757623
Rhino’s Rest Private Luxury Villa,rhinos-rest-luxury-self-catering-home,2025-12-10,2025-12-12,2,2,1,42,sold_out,,,,False,,,,2025-10-29T16:09:17.813707
Rhino’s Rest Private Luxury Villa,rhinos-rest-luxury-self-catering-home,2025-12-12,2025-12-14,2,2,1,44,sold_out,,,,False,,,,2025-10-29T16:09:23.966649
Rhino’s Rest Private Luxury Villa,rhinos-rest-luxury-self-catering-home,2025-12-14,2025-12-16,2,2,1,46,sold_out,,,,False,,,,2025-10-29T16:09:29.983664
Rhino’s Rest Private Luxury Villa,rhinos-rest-luxury-self-catering-home,2025-12-16,2025-12-18,2,2,1,48,sold_out,,,,False,,,,2025-10-29T16:09:36.264088
Rhino’s Rest Private Luxury Villa,rhinos-rest-luxury-self-catering-home,2025-12-18,2025-12-20,2,2,1,50,sold_out,,,,False,,,,2025-10-29T16:09:42.544548
