id,variety,puc,block,area,description,geometry
10,Midknight,Blyderus,BR13A,1.03,Blyderus MKN,"POLYGON ((30.83488784546742 -24.350302477521, 30.83589118510451 -24.35027156528382, 30.835890336521874 -24.35123938413569, 30.834895311559468 -24.351267270078775, 30.83488784546742 -24.350302477521))"
11,Valencia Late,Blyderus,BR07B,1.29,Blyderus Late,"POLYGON ((30.74265214055178 -24.360028713087814, 30.742672486853976 -24.36003283195187, 30.74271635071845 -24.360051309619944, 30.74282759600966 -24.36010262376011, 30.743282530535296 -24.360319493215428, 30.74352992021902 -24.360439683851254, 30.743568383521797 -24.36045999211612, 30.74357657856018 -24.360468229822953, 30.743582575695548 -24.360478870193457, 30.74358226170941 -24.360493543606076, 30.74352941784119 -24.360591765917164, 30.74316177146389 -24.361253922503636, 30.742478284574858 -24.36247655920301, 30.742316638962265 -24.36276086364881, 30.742258512733354 -24.362857969105516, 30.74223814425079 -24.362867947595298, 30.742218651256273 -24.362870015088706, 30.742200864877113 -24.36286866648062, 30.742162565960868 -24.362853851584376, 30.742065455591277 -24.36281075550373, 30.741668359161935 -24.362625803965035, 30.741451080749524 -24.362522748627576, 30.741416165490193 -24.362504986379356, 30.741401376742765 -24.36249274442865, 30.74139619597137 -24.36248419222406, 30.741395348208773 -24.36247775661817, 30.741400152196796 -24.362464770984786, 30.741503328044082 -24.362258659761864, 30.741523611549056 -24.3622129526042, 30.74152210441556 -24.36220231237948, 30.741519843715313 -24.36219716388323, 30.74150659349999 -24.362179201350585, 30.741493720068043 -24.36217050611106, 30.74146684285402 -24.362156547961952, 30.741453153058092 -24.36214619376012, 30.741445805782295 -24.362137555713833, 30.741442414731928 -24.362125656928566, 30.741488068317427 -24.36204007675292, 30.7416267245991 -24.361791058996726, 30.7418121648164 -24.36146160957872, 30.74255995421958 -24.360140837122707, 30.742611636339063 -24.360052282163082, 30.742623505015345 -24.360037866128383, 30.742631040682827 -24.360031916653412, 30.74264177900899 -24.3600284842632, 30.74265214055178 -24.360028713087814))"
12,Valencia Late,Blyderus,BR08B,1.36,Blyderus Late,"POLYGON ((30.798895370193172 -24.33754049886608, 30.799381551435356 -24.336091304778805, 30.800263610856934 -24.336323772775895, 30.79997119845482 -24.33720758104744, 30.79973812848814 -24.33723372248722, 30.799093752708007 -24.33744642905542, 30.798895370193172 -24.33754049886608))"
13,Valencia Late,Blyderus,BR09B,1.3,Blyderus Late,"POLYGON ((30.810280578789367 -24.34765185127577, 30.81087451917566 -24.345875063509993, 30.81171760443225 -24.3460986775207, 30.811430208113958 -24.34718578533337, 30.810280578789367 -24.34765185127577))"
14,Valencia Late,Blyderus,BR11A,0.79,Blyderus Late,"POLYGON ((30.83590483366403 -24.35137299590331, 30.83592466860808 -24.352303861080728, 30.834951748610482 -24.352308400221652, 30.834928733264572 -24.351397347573766, 30.83590483366403 -24.35137299590331))"
15,Valencia Late,Blyderus,BR12A,0.88,Blyderus Late,"POLYGON ((30.799232157573112 -24.3491738800304, 30.799863240299526 -24.34941109552331, 30.799617768123813 -24.350158564115226, 30.799232157573112 -24.3491738800304))"
16,Benny,Essex,39,1.62,BEN,"POLYGON ((30.809249335489362 -24.33888553449883, 30.808659150862393 -24.340578139466743, 30.807575054600782 -24.340805665842634, 30.808345305310638 -24.33864679413473, 30.809249335489362 -24.33888553449883))"
17,Benny,Essex,40,1.8,BEN,"POLYGON ((30.80893560308146 -24.34283676025493, 30.80912865550256 -24.34276975484075, 30.809331345550113 -24.342853695749408, 30.809709044899535 -24.343055131733138, 30.809423247044347 -24.34394548979201, 30.809257423927534 -24.34404620931735, 30.80911895190693 -24.34412190573516, 30.808888171973422 -24.34425647231364, 30.80866650726357 -24.344508838286888, 30.80854656282332 -24.34456769138701, 30.808336531026676 -24.3447091286299, 30.80868653916073 -24.343500712500553, 30.80893560308146 -24.34283676025493))"
18,Benny,Essex,41,1.8,BEN,"POLYGON ((30.809912481246027 -24.33687041689221, 30.81067683748209 -24.337090607587733, 30.8100328949021 -24.33892386042126, 30.809275150397553 -24.33871428856732, 30.809912481246027 -24.33687041689221))"
19,Benny,Essex,63,1.21,BEN,"POLYGON ((30.742734739406135 -24.34945655493217, 30.74113133113982 -24.349804029830615, 30.74206823969811 -24.34817148992514, 30.74314219903785 -24.3486905196638, 30.742734739406135 -24.34945655493217))"
20,Delta,Essex,20,1.85,DEL 1,"POLYGON ((30.730603581604605 -24.35352302334693, 30.730594287614707 -24.35351455635024, 30.730589703416992 -24.3535074623796, 30.730589232437776 -24.353503800975044, 30.73059064537543 -24.353497450726096, 30.730600535938994 -24.353476111600266, 30.73147191028888 -24.35191917348767, 30.73249668948291 -24.35006810230889, 30.732543096635162 -24.349990954762692, 30.73256187300664 -24.34997934107233, 30.73257072741593 -24.34997745313257, 30.732593271621152 -24.34998025643737, 30.732627967090185 -24.349994787835747, 30.73336430442167 -24.350623310686522, 30.73337491715337 -24.35063827113842, 30.73337623589518 -24.350645050539455, 30.733371777291914 -24.3506617272924, 30.733334852521253 -24.350718937388162, 30.732625633611594 -24.351996134649905, 30.732606576869685 -24.35200313508574, 30.732586742301567 -24.35200235725951, 30.732522571640022 -24.351982133778325, 30.73244401119376 -24.351960354644707, 30.732331918340307 -24.35212933661624, 30.732308086791896 -24.35215559603981, 30.732288933637047 -24.352172759056813, 30.732255305720905 -24.352197988684246, 30.732215335284636 -24.352232600748465, 30.732088359287552 -24.352370505422012, 30.73205341262961 -24.352414328236144, 30.7320047133785 -24.352484582014263, 30.731960504129272 -24.35254121980895, 30.731868129405385 -24.352640822166272, 30.731730289487682 -24.352806272890454, 30.731694118283766 -24.352846262507246, 30.731572480051152 -24.35296760431139, 30.731449146293357 -24.353081108278925, 30.731417182503787 -24.353108111226547, 30.73137611311601 -24.353139690935365, 30.73133962792595 -24.353165320835785, 30.73123312382553 -24.353234372803502, 30.73118715625388 -24.35326028873692, 30.731148661552492 -24.353279739984, 30.73084164589982 -24.353420589807268, 30.730736837324578 -24.353470934145495, 30.730715549063945 -24.353477656256924, 30.730685280799555 -24.35347705555765, 30.730678121915446 -24.353477999513625, 30.73066217141928 -24.353483463016453, 30.730649988756852 -24.353491844200484, 30.730624493081866 -24.353520077060885, 30.73061011251642 -24.35352491125833, 30.730603581604605 -24.35352302334693))"
21,Delta,Essex,21,1.83,DEL 1,"POLYGON ((30.732312643783935 -24.35514724859922, 30.732296898789826 -24.355130556808575, 30.732293091429625 -24.35512258582917, 30.732291068742803 -24.355102079715934, 30.73234589072374 -24.35499847377103, 30.732510921841605 -24.354701042776384, 30.73273115172378 -24.35430893039688, 30.73344823328196 -24.35303768300498, 30.73367643841222 -24.352635043985796, 30.733692702894537 -24.352612617728575, 30.733700803737076 -24.352607125583894, 30.733708213810104 -24.352604951609898, 30.73372234318663 -24.352603921832596, 30.73376341257441 -24.352619597306013, 30.733872491361215 -24.352667653503566, 30.734467181120035 -24.35294311849379, 30.73457663669022 -24.352995465417063, 30.734618208455835 -24.3530168618581, 30.73463346818248 -24.353028704257934, 30.734639810702614 -24.353036027093864, 30.734643578536353 -24.35304615320181, 30.734643515739126 -24.353055707212462, 30.734639559513695 -24.35307424313647, 30.734581723265773 -24.353180080013633, 30.73441217074742 -24.353479054721124, 30.73368271813511 -24.35474989722156, 30.733457150488473 -24.35514143614685, 30.73328514887819 -24.35543766472427, 30.733224047174353 -24.355539840094675, 30.73321274367313 -24.35555013762847, 30.733205396397338 -24.3555541994335, 30.73319465807118 -24.355556087314792, 30.73316319665944 -24.355550538088664, 30.733121010097026 -24.355532886024253, 30.732881468099485 -24.355421678613162, 30.732585434946795 -24.355281345593138, 30.732452658333877 -24.355217805795558, 30.732350361647804 -24.355167519422835, 30.732312643783935 -24.35514724859922))"
22,Delta,Essex,22,1.78,DEL 1,"POLYGON ((30.803549064019567 -24.34385964825512, 30.802888106331984 -24.345845869634427, 30.802133671434778 -24.345637270123678, 30.802795125294956 -24.343655543296524, 30.803549064019567 -24.34385964825512))"
23,Delta,Essex,47,1.79,DEL 1,"POLYGON ((30.820416564947582 -24.335027666255105, 30.820235109781294 -24.33543041837275, 30.819448000972397 -24.335196875485277, 30.820117373134078 -24.333028109681425, 30.820902084910056 -24.333250404193816, 30.820912148605164 -24.333368717988318, 30.820416564947582 -24.335027666255105))"
24,Delta,Essex,48,1.64,DEL 1,"POLYGON ((30.740203517582742 -24.36204851324426, 30.740221605545578 -24.362043631064005, 30.74024311756722 -24.362042003670588, 30.74026931906071 -24.362048513244257, 30.74030802581246 -24.362066007699475, 30.74081567974886 -24.36231337111459, 30.740943709773877 -24.36237765304842, 30.741046431538138 -24.36243257747397, 30.74108960445355 -24.3624598362494, 30.741116401435526 -24.36248668815013, 30.74112801346105 -24.362502962026223, 30.741136052555646 -24.362524931753764, 30.741137839021114 -24.362545274090245, 30.741135159322916 -24.36258433137214, 30.741084058967004 -24.3626906531528, 30.74093343759746 -24.362970561212876, 30.74073350233747 -24.363330752865682, 30.740082856727796 -24.36448815320404, 30.73992765754049 -24.364757686625758, 30.73987045342757 -24.36485017555528, 30.739854040276104 -24.364858108922107, 30.739844326370136 -24.364861024603954, 30.739831597803693 -24.36486183828265, 30.739798324884404 -24.36485478640123, 30.739754072646107 -24.364835190277503, 30.739643088479074 -24.364781894237048, 30.7391911871524 -24.364558267836077, 30.738941416949526 -24.364431672768625, 30.73889910004882 -24.36440800822825, 30.73888168201053 -24.364393361960058, 30.738874015096243 -24.364385564178015, 30.738868432391666 -24.36437681710007, 30.738866794798323 -24.36437003641887, 30.738867464722865 -24.36435844145321, 30.738918155680444 -24.36426364671817, 30.739069558628632 -24.3639908574787, 30.73927120591803 -24.36363100348129, 30.739724744838036 -24.36282423072853, 30.73992869964533 -24.362463495203333, 30.740087025147194 -24.36218806138049, 30.740146946176345 -24.362089740534284, 30.740179921351388 -24.362060989924803, 30.740193096534192 -24.362052852959458, 30.740203517582742 -24.36204851324426))"
25,Delta,Essex,58,1.85,DEL 2,"POLYGON ((30.835958702965517 -24.35235856369671, 30.8379043838375 -24.352324675207612, 30.83790228449111 -24.353022385540076, 30.835986504933828 -24.353068780515024, 30.835958702965517 -24.35235856369671))"
26,Delta,Essex,60,1.85,DEL 3,"POLYGON ((30.737835208866137 -24.36395795186396, 30.73785247657046 -24.3639621455452, 30.737895098836383 -24.363979774513496, 30.73800569792982 -24.364028467737143, 30.738461937062297 -24.364233880131277, 30.73871237718972 -24.364349931673026, 30.73875313093315 -24.364371392554986, 30.738772325947778 -24.364391263773648, 30.738780410272607 -24.364406479263423, 30.738783980988156 -24.364425850084707, 30.738782976101334 -24.36443500399993, 30.73877471591393 -24.364458351449695, 30.73855817340012 -24.364844887549665, 30.737868774700743 -24.366064343112317, 30.73765490128831 -24.366440260293476, 30.737490099849126 -24.366724944301918, 30.73742930419626 -24.366823500468165, 30.73741171867683 -24.366834484958456, 30.73740049744063 -24.36683860414235, 30.73738441925144 -24.366839977203743, 30.737368843505667 -24.3668381464555, 30.73733819445753 -24.366831281149373, 30.737289792408827 -24.366811092033643, 30.73717523531086 -24.366757389992582, 30.736719686617185 -24.36653383488947, 30.736579728213385 -24.366463554368877, 30.73647287524774 -24.366406953624164, 30.736434745375462 -24.366382899570233, 30.73642720872428 -24.366367338153147, 30.736425254777682 -24.366357828397156, 30.736426929589054 -24.36634486054626, 30.73643167488795 -24.36633275721743, 30.73644423597325 -24.366309415081833, 30.736660119159332 -24.365926326061558, 30.737538725206022 -24.364370982946497, 30.737753436024146 -24.36399358938072, 30.73776448977921 -24.36397756997233, 30.737771224337493 -24.363970085981236, 30.737780374257277 -24.363963653416327, 30.7377888895653 -24.36396041646592, 30.737814491316424 -24.36395614712802, 30.737835208866137 -24.36395795186396))"
27,Delta,Essex,61,1.85,DEL 3,"POLYGON ((30.813643968038114 -24.343483494779445, 30.81435269471783 -24.341413266846583, 30.814658009990698 -24.343631891162747, 30.813643968038114 -24.343483494779445))"
28,Delta,Essex,62,1.83,DEL 3,"POLYGON ((30.806096959747773 -24.342337228230175, 30.80542058123134 -24.344364230093305, 30.804517177309823 -24.344119662180848, 30.805190184250698 -24.342098608104617, 30.806087727538195 -24.34233037265163, 30.80608763454654 -24.342332499356765, 30.806096959747773 -24.342337228230175))"
29,Delta,Essex,66,1.94,DEL 4,"POLYGON ((30.80893560308146 -24.34283676025493, 30.80912865550256 -24.34276975484075, 30.809331345550113 -24.342853695749408, 30.809709044899535 -24.343055131733138, 30.809423247044347 -24.34394548979201, 30.809257423927534 -24.34404620931735, 30.80911895190693 -24.34412190573516, 30.808888171973422 -24.34425647231364, 30.80866650726357 -24.344508838286888, 30.80854656282332 -24.34456769138701, 30.808336531026676 -24.3447091286299, 30.80868653916073 -24.343500712500553, 30.80893560308146 -24.34283676025493))"
30,Delta,Essex,67,1.54,DEL 4,"POLYGON ((30.809912481246027 -24.33687041689221, 30.81067683748209 -24.337090607587733, 30.8100328949021 -24.33892386042126, 30.809275150397553 -24.33871428856732, 30.809912481246027 -24.33687041689221))"
31,Delta,Essex,68,1.69,DEL 4,"POLYGON ((30.824430524182247 -24.340093100712924, 30.823685475702263 -24.340497847513756, 30.823749246889868 -24.339313074204384, 30.82467550316664 -24.33882689206884, 30.82485187169565 -24.338723252830146, 30.824922782753703 -24.338712343436598, 30.824983693534342 -24.338723252830146, 30.825023694644013 -24.33874143515272, 30.82513278857948 -24.33886689317851, 30.825292793018168 -24.339046898172032, 30.825440069831046 -24.339458727778425, 30.825409159882664 -24.33956145790099, 30.825192897464213 -24.33967894223169, 30.825150970902058 -24.339683279462257, 30.825109151560127 -24.339679642997744, 30.82505642282465 -24.339661460675163, 30.82504005873433 -24.33963236895904, 30.825003694089176 -24.339559639668728, 30.82497460237305 -24.33951054739777, 30.824854599044034 -24.339454182197777, 30.824772778592433 -24.339445091036488, 30.824720049856957 -24.339448727501, 30.82459459183117 -24.339486910378415, 30.82452186254086 -24.33951600209454, 30.824458224411835 -24.339557821436472, 30.82440549567636 -24.339610550171948, 30.824361858102172 -24.339676006533228, 30.824352766940883 -24.339728735268704, 30.82437094926346 -24.339799646326757, 30.824392768050554 -24.339854193294492, 30.82443640562474 -24.339910558494484, 30.824476406734412 -24.339966923694476, 30.824430524182247 -24.340093100712924))"
32,Delta,Essex,69,1.68,DEL 4,"POLYGON ((30.84121759759527 -24.35510724516236, 30.84118900352202 -24.354539629562442, 30.843093132150678 -24.354494616563915, 30.843646606981263 -24.354910165274568, 30.84357315690667 -24.35505968107387, 30.84121759759527 -24.35510724516236))"
33,Delta,Essex,70,1.79,DEL 2,"POLYGON ((30.827251989925976 -24.33857417658538, 30.827012300948912 -24.337446990585132, 30.827348254307164 -24.3373949272192, 30.82784995289759 -24.337227694355725, 30.82799840545447 -24.337137961043993, 30.828156290719388 -24.338072641812307, 30.827251989925976 -24.33857417658538))"
34,Delta,Essex,71,1.84,DEL 2,"POLYGON ((30.836872386259788 -24.35664022069725, 30.837017151761312 -24.356636965180908, 30.83701581419789 -24.357228315781224, 30.83698292233483 -24.357202622817727, 30.836705787003083 -24.356945677914645, 30.83638671146228 -24.356741662621875, 30.83625249981971 -24.356644561252278, 30.836872386259788 -24.35664022069725))"
35,Du Roi,Essex,R35A,1,DU ROI 2,"POLYGON ((30.813054496094168 -24.342091602026183, 30.812175379674198 -24.341866187559525, 30.812863859704347 -24.339800747469077, 30.813791022751648 -24.340056110172785, 30.813054496094168 -24.342091602026183))"
36,Du Roi,Essex,36,1.34,DU ROI 2,"POLYGON ((30.827434080408413 -24.331661430828625, 30.82732265470608 -24.33165957373359, 30.827383030789175 -24.331449652125126, 30.827434080408413 -24.331661430828625))"
37,Du Roi,Essex,37,1.62,DU ROI 2,"POLYGON ((30.799620409937983 -24.339104001261827, 30.800124656561678 -24.33989008915427, 30.799994332614133 -24.3399552713399, 30.799806470147686 -24.340099339818, 30.799662580410374 -24.34028389404629, 30.79958271326364 -24.34047933188041, 30.79860574365127 -24.34018828344188, 30.798803980887673 -24.33983777702389, 30.799147937671737 -24.339437536402436, 30.79942620400571 -24.339218675240886, 30.799620409937983 -24.339104001261827))"
38,Du Roi,Essex,38,1.48,DU ROI 2,"POLYGON ((30.738350477084847 -24.343414619726715, 30.738361142226438 -24.343413554000346, 30.738365889934627 -24.34341487048576, 30.7383773807646 -24.343422079810722, 30.73838316058327 -24.34342878761709, 30.73838398627165 -24.343438316462898, 30.73833444496878 -24.343497558223103, 30.738084261389275 -24.343774834699282, 30.738069398998416 -24.343792952012013, 30.73806210541772 -24.343809000547978, 30.73806251826191 -24.343816523298354, 30.738064926519687 -24.343823168394056, 30.738071738448827 -24.343835580930786, 30.7380802705621 -24.343845047055208, 30.738099054972775 -24.343861032891738, 30.738215408227155 -24.343947419084277, 30.73825421558107 -24.343984719345734, 30.738281463297653 -24.343999952894197, 30.738296394495883 -24.344002335095194, 30.738308160555313 -24.344001206684297, 30.73832673854389 -24.343986349253676, 30.738370706450187 -24.343942905372693, 30.738600591856983 -24.343698102547506, 30.73864559187376 -24.34365315411319, 30.738665546009642 -24.343636290611464, 30.73868852766959 -24.3436289559193, 30.73869802308597 -24.343629520126346, 30.738705729510862 -24.343632153092695, 30.73871935336915 -24.3436394877847, 30.738774399261224 -24.343680110677184, 30.738874995628997 -24.343762108726217, 30.738885523155858 -24.343772828649538, 30.738889238753575 -24.34377909761015, 30.73888985801986 -24.34378718456865, 30.73888717453262 -24.343794393872212, 30.738878504804617 -24.343807934824387, 30.738862679110646 -24.343826177479507, 30.738618481771905 -24.344078001241424, 30.738564330375578 -24.344136114403458, 30.738553252389803 -24.344154419715167, 30.738552220279328 -24.34416194244524, 30.738553527619263 -24.344168023318257, 30.73856233496199 -24.344184949458352, 30.73857609643501 -24.3441998068457, 30.738590958825867 -24.344212783550024, 30.73859962855387 -24.344218300216628, 30.738610775347016 -24.34422187351211, 30.738620683607596 -24.34422231233798, 30.738639261596177 -24.344220055520104, 30.7386616927972 -24.34421253279288, 30.73868969739479 -24.34419353790594, 30.738747151544644 -24.34413906076591, 30.738935133266096 -24.343948359388413, 30.73897125713277 -24.343913190591575, 30.738986807597286 -24.343899586972913, 30.738997335124147 -24.34389394491376, 30.739010477330886 -24.343891311952863, 30.739016601186382 -24.343892440364726, 30.73902774797952 -24.343896389806197, 30.73904467459134 -24.343906733579878, 30.739080798458026 -24.343939081378878, 30.739086371854597 -24.343947544465035, 30.73908761038717 -24.343953374590512, 30.739085752588302 -24.343962401880795, 30.7389964406284 -24.34406094890816, 30.738730362547564 -24.34434756269998, 30.73695354995861 -24.346243024999332, 30.736858182950584 -24.346341321197713, 30.736842701293433 -24.34634978412278, 30.73683368752861 -24.346352667786142, 30.736822127891273 -24.34635285585116, 30.736811875593876 -24.346350285629494, 30.736792678339008 -24.34634238689948, 30.736759513189032 -24.346317813027156, 30.73667921499396 -24.346251990140196, 30.73657854981882 -24.34616685920092, 30.73635685248847 -24.345977289270046, 30.736179742330712 -24.345822323357133, 30.73615043039318 -24.34579373739814, 30.736139902866316 -24.345776811473122, 30.736135636809678 -24.34576803506717, 30.736133366166627 -24.345758631774327, 30.736133847818184 -24.345751736025548, 30.736137563415898 -24.345740452072036, 30.736227357027353 -24.345642845016478, 30.736493022264003 -24.345361307803294, 30.736846004046964 -24.344989686170223, 30.73799260997897 -24.34378586524416, 30.73825930732609 -24.34350771321011, 30.738350477084847 -24.343414619726715))"
39,Du Roi,Essex,51,2.02,DU ROI 1,"POLYGON ((30.84110514811331 -24.354545245209962, 30.84109305325882 -24.355107848854335, 30.84018590553626 -24.355124936448064, 30.840166629308793 -24.354566688827003, 30.84110514811331 -24.354545245209962))"
